,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Completion Type,Year Drilled
8997,Operator 12,Well 8998,MBH,7588.0,26.0,154,104,10,2951496.0,41223.0,2011-01-26,375.180802103879,266.502301117686,220.562130177515,195.62057126159698,170.630615822924,P & P,48.1799432350205,-104.04370776458299,CROSSLINKED (HC),660.0,63.23,P & P,2011.0
9006,Operator 2,Well 9007,MBH,9961.0,24.0,153,99,16,2901080.0,71647.0,2011-11-29,306.837606837607,278.73109796186696,230.27613412228803,206.998319818833,188.223208415516,P & P,48.081418490071,-103.428984214651,SLICKWATER (HC),660.0,65.49,P & P,2011.0
9014,Operator 24,Well 9015,MBH,9147.0,27.0,154,99,1,3993700.0,83568.0,2012-01-17,647.5345167652861,603.396888012272,506.229454306377,439.349112426035,393.34319526627195,P & P,48.19723501305489,-103.35983963594299,LINEAR GEL (HC),660.0,151.48,P & P,2012.0
9028,Operator 22,Well 9029,MBH,10991.0,26.0,152,104,4,3466000.0,81234.0,2012-10-17,391.12426035503,313.138286215209,261.335744028052,225.290379136533,202.00799912338402,Sleeves,48.0238857465813,-103.996012793201,CROSSLINKED (HC),660.0,79.47,Sleeves,2012.0
9029,Operator 18,Well 9030,MBH,9865.0,30.0,156,98,7,4062667.0,63259.0,2011-06-07,481.9855358316901,454.109138724523,373.301555993864,318.04003214259603,277.490138067061,Sleeves,48.343469288165394,-103.333058733526,CROSSLINKED (HC),660.0,109.84,Sleeves,2011.0
9030,Operator 12,Well 9031,MBH,9656.0,48.0,154,104,12,9905670.0,112514.0,2012-11-04,620.8415516107821,484.593469208854,386.626123164585,330.49528818759603,291.159872890642,P & P (cmt.),48.1701168238407,-103.997924796427,CROSSLINKED (HC),660.0,102.41,P & P,2012.0
9039,Operator 24,Well 9040,MBH,9240.0,32.0,156,100,10,3461816.0,192580.0,2012-04-30,520.808678500986,395.803199649353,312.310979618672,272.280663306304,245.342976112207,P & P,48.344150516091204,-103.52711494962601,SLICKWATER (HC),660.0,91.95,P & P,2012.0
9041,Operator 12,Well 9042,MBH,8882.0,37.0,154,103,8,9668031.0,103333.0,2012-09-08,654.6679815910579,546.657900504054,427.087442472058,353.411498283293,315.280517203594,P & P,48.1701392177795,-103.954414326127,CROSSLINKED (HC),660.0,115.51,P & P,2012.0
9044,Operator 35,Well 9045,MBH,9111.0,26.0,157,101,14,2623329.0,99886.0,2012-05-08,284.188034188034,240.48871356563703,202.41617357002,178.88085323982799,163.864234056542,P & P,48.43015441987579,-103.70556130158,SLICKWATER (HC),660.0,61.42,P & P,2012.0
9045,Operator 12,Well 9046,MBH,9363.0,38.0,153,103,33,9834082.0,94957.0,2012-09-22,498.652202498356,332.029366644751,259.44554021477103,221.959237343853,201.36971290817402,P & P,48.025171475882594,-103.941583842013,LINEAR GEL (HC),660.0,76.95,P & P,2012.0
9052,Operator 12,Well 9053,MBH,9118.0,31.0,154,104,12,3091582.0,52881.0,2011-07-16,410.42077580539103,362.743808897655,290.674994521148,259.577032653956,235.568704799474,P & P,48.170094034616696,-103.99649340484501,CROSSLINKED (HC),660.0,88.22,P & P,2011.0
9054,Operator 2,Well 9055,MBH,9401.0,24.0,155,96,5,2691802.0,62012.0,2011-11-14,332.182774490467,289.62305500767,228.670830593907,192.077580539119,169.444444444444,OH,48.283287296121294,-103.05574526547599,CROSSLINKED (HC),613.084835,62.65,OH,2011.0
9056,Operator 18,Well 9057,MBH,9091.0,38.0,156,97,34,4166181.0,79628.0,2011-12-03,401.972386587771,285.097523559062,227.13675213675202,192.66199137994,172.21948279640597,Sleeves,48.28540089394689,-103.13720186116899,LINEAR GEL (HC),660.0,70.78,Sleeves,2011.0
9065,Operator 18,Well 9066,MBH,9025.0,38.0,157,96,31,4987665.0,71364.0,2011-12-10,488.19855358316903,324.51238220468997,243.85820731974601,208.773467747827,186.730221345606,Sleeves,48.373346735933296,-103.1322906994,LINEAR GEL (HC),660.0,72.85,Sleeves,2011.0
9066,Operator 12,Well 9067,MBH,8648.0,21.0,154,103,7,3832818.0,48649.0,2011-09-15,397.205785667324,332.259478413325,271.252465483235,231.17466579005,203.807801884725,P & P,48.1706424432934,-103.975392498165,CROSSLINKED (HC),660.0,77.45,P & P,2011.0
9068,Operator 18,Well 9069,MBH,9816.0,38.0,158,96,31,4400840.0,74463.0,2011-10-29,508.349769888231,366.272189349112,269.570458031996,225.20271751041,195.203265395573,Sleeves,48.460487186924404,-103.131253072062,LINEAR GEL (HC),660.0,73.17,Sleeves,2011.0
9070,Operator 18,Well 9071,MBH,8865.0,21.0,156,97,35,4386240.0,75143.0,2011-08-04,494.47731755424104,386.543940390094,287.20688143765096,240.119804222368,211.754876177953,Sleeves,48.2856795426753,-103.11805480014601,LINEAR GEL (HC),660.0,79.15,Sleeves,2011.0
