,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Latitude,Longitude,SPACING_CAPPED,12 month Cum Prod,Year Drilled
0,5114.0,30.0,141.0,99.0,10.0,0.0,16079.0,141.518737672584,127.690116151655,110.00986193293899,97.3518883775294,88.2752575060267,47.051149575938396,-103.214580077877,660.0,33.55,2006.0
1,5181.0,-1.7226965543295591,142.0,99.0,16.0,418000.0,7269.0,197.764628533859,127.83256629410499,99.1288625904011,83.6949375410914,72.01950471181242,47.1113677476505,-103.22505929981101,660.0,27.62,2005.0
2,4780.0,15.0,142.0,99.0,24.0,568407.0,8279.0,52.071005917159795,44.334867411790505,36.9055445978523,31.7663817663818,28.5667324128863,47.0970317622805,-103.160909749363,660.0,11.19,2006.0
3,10654.0,1.0,142.0,99.0,1.0,845000.0,9342.0,136.752136752137,120.764847687925,99.1726934034626,86.675432829279,75.88209511286429,47.140247702456506,-103.178390893757,660.0,27.85,2007.0
4,5209.0,1.0,142.0,99.0,35.0,297366.0,4523.0,249.17817225509498,227.580539119001,189.869603331142,163.163854189495,140.033968880123,47.0808723418575,-103.181299509581,660.0,50.88,2006.0
5,14446.0,12.761332059074448,142.0,98.0,32.0,538000.0,7628.0,69.0335305719921,62.699978084593496,53.517422748192,47.7463656950836,43.0418584264738,47.0681362547947,-103.118914508799,660.0,16.7,2006.0
6,10203.0,1.0,142.0,99.0,28.0,987000.0,19444.0,260.650887573965,192.01183431952703,155.993863686171,131.583753378625,116.28314705237801,47.0946601768377,-103.22440919921499,660.0,43.91,2005.0
7,10758.0,1.0,141.0,98.0,9.0,75000.0,0.0,57.4621959237344,40.0394477317554,33.4976988823143,29.3593396157499,26.7696690773614,47.03914686907039,-103.11629734621201,660.0,10.68,2006.0
8,10451.0,1.0,141.0,99.0,2.0,748000.0,10607.0,125.575279421433,91.37628753013371,71.0826210826211,59.9386368617138,53.2708744247206,47.0533459083162,-103.199282584494,660.0,20.04,2007.0
9,10626.0,1.0,142.0,99.0,2.0,0.0,26063.0,194.148586456279,157.867630944554,132.243041858426,115.96537365768101,105.11998685075599,47.1404510409445,-103.199176605827,660.0,41.55,2006.0
10,4393.0,1.0,142.0,100.0,1.0,401000.0,13180.0,30.8678500986193,27.372342756958105,21.4442252903791,18.5623493315801,16.548871356563698,47.139957536209295,-103.29698224894301,660.0,5.56,2007.0
11,14832.0,1.0,142.0,99.0,27.0,0.0,0.0,300.26298487836897,269.19789612097304,230.566513258821,207.093286580466,192.910365987289,47.082427667447206,-103.203415825788,660.0,70.39,2007.0
12,11293.0,1.0,143.0,100.0,16.0,0.0,0.0,28.4352399737015,22.550953320184103,19.071882533421,16.684929505442298,15.088757396449699,47.20012517622639,-103.36659972875799,660.0,5.85,2006.0
13,9667.0,1.0,141.0,99.0,12.0,37000.0,0.0,189.61209730440498,143.162393162393,87.95200525969759,67.5980714442253,56.451347797501604,47.0522024561971,-103.160510359767,660.0,21.22,2007.0
14,11548.0,8.531582381389853,142.0,99.0,23.0,0.0,0.0,251.906640368179,194.948498794653,156.96909927679198,133.99079552925699,113.998465921543,47.096783663037,-103.18200974429199,660.0,42.84,2006.0
15,11186.0,1.0,141.0,98.0,18.0,843927.0,13067.0,65.22024983563439,62.7876397107166,54.3392504930966,49.2694864489736,44.1458470304624,47.0247114875895,-103.158211039489,660.0,17.31,2006.0
16,2482.0,1.0,142.0,102.0,2.0,0.0,0.0,105.68704799474001,95.15669515669519,80.0898531667762,69.9357148075097,62.0425158886697,47.1530938724944,-103.560992521964,660.0,23.42,2008.0
17,5664.0,1.0,144.0,98.0,4.0,350000.0,5917.0,49.44115713346479,29.8706991014683,23.4549638395792,20.5383884871064,18.066513258820898,47.314168247876104,-103.09692151097201,660.0,6.62,2006.0
18,5414.0,18.0,143.0,98.0,36.0,493000.0,0.0,104.60223537146601,104.229673460443,85.1906640368179,74.65483234714,68.082949813719,47.154779528287,-103.051574999072,660.0,27.13,2006.0
